Neh 1:1
Ιουδαίοις N2--DPM--- Ἰουδαῖος
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
ἱερεῦσιν N3V-DPM--- ἱερεύς
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
ἐντίμοις A1B-DPM--- ἔντιμος
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
στρατηγοῖς N2--DPM--- στρατηγός
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
καταλοίποις A1B-DPM--- κατάλοιπος
τοῖς RA--DPM--- ὁ
ποιοῦσιν V2--PAPDPM ποιέω
τὰ RA--APN--- ὁ
ἔργα N2N-APN--- ἔργον
ἕως C--------- ἕως
τότε D--------- τότε
οὐκ D--------- οὐ
ἀπήγγειλα VAI-AAI1S- ἀγγέλλω ἀπο

Neh 2:17
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
ὑμεῖς RP--AP---- σύ
βλέπετε V1--PAI2P- βλέπω
τὴν RA--ASF--- ὁ
πονηρίαν N1A-ASF--- πονηρία
ἐν P--------- ἐν
ᾗ RR--DSF--- ὅς
ἐσμεν V9--PAI1P- εἰμί
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
πῶς D--------- πῶς
Ιερουσαλημ N---NSF--- Ἰερουσαλήμ
ἔρημος N2--NSF--- ἔρημος
καὶ C--------- καί
αἱ RA--NPF--- ὁ
πύλαι N1--NPF--- πύλη
αὐτῆς RD--GSF--- αὐτός
ἐδόθησαν VCI-API3P- δίδωμι
πυρί N3--DSN--- πῦρ
δεῦτε I--------- δεῦτε
καὶ C--------- καί
διοικοδομήσωμεν VA--AAS1P- οἰκοδομέω δια
τὸ RA--ASN--- ὁ
τεῖχος N3E-ASN--- τεῖχος
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
καὶ C--------- καί
οὐκ D--------- οὐ
ἐσόμεθα VF--FMI1P- εἰμί
ἔτι D--------- ἔτι
ὄνειδος N3E-NSN--- ὄνειδος

Neh 2:18
καὶ C--------- καί
ἀπήγγειλα VAI-AAI1S- ἀγγέλλω ἀπο
αὐτοῖς RD--DPM--- αὐτός
τὴν RA--ASF--- ὁ
χεῖρα N3--ASF--- χείρ
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἥ RR--NSF--- ὅς
ἐστιν V9--PAI3S- εἰμί
ἀγαθὴ A1--NSF--- ἀγαθός
ἐπ' P--------- ἐπί
ἐμέ RP--AS---- ἐγώ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
οὓς RR--APM--- ὅς
εἶπέν VBI-AAI3S- εἶπον
μοι RP--DS---- ἐγώ
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
ἀναστῶμεν V6--AAS1P- ἵστημι ἀνα
καὶ C--------- καί
οἰκοδομήσωμεν VA--AAS1P- οἰκοδομέω
καὶ C--------- καί
ἐκραταιώθησαν VCI-API3P- κραταιόω
αἱ RA--NPF--- ὁ
χεῖρες N3--NPF--- χείρ
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
ἀγαθόν A1--ASM--- ἀγαθός

Neh 2:19
καὶ C--------- καί
ἤκουσεν VAI-AAI3S- ἀκούω
Σαναβαλλατ N---NSM--- Σαναβαλλατ
ὁ RA--NSM--- ὁ
Αρωνι N---NSM--- Αρωνι
καὶ C--------- καί
Τωβια N---NSM--- Τωβια
ὁ RA--NSM--- ὁ
δοῦλος N2--NSM--- δοῦλος
ὁ RA--NSM--- ὁ
Αμμωνι N---NSM--- Αμμωνι
καὶ C--------- καί
Γησαμ N---NSM--- Γησαμ
ὁ RA--NSM--- ὁ
Αραβι N---NSM--- Αραβι
καὶ C--------- καί
ἐξεγέλασαν VAI-AAI3P- γελάω ἐκ
ἡμᾶς RP--AP---- ἐγώ
καὶ C--------- καί
ἦλθον VBI-AAI3P- ἔρχομαι
ἐφ' P--------- ἐπί
ἡμᾶς RP--AP---- ἐγώ
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
τί RI--NSN--- τίς
τὸ RA--NSN--- ὁ
ῥῆμα N3M-NSN--- ῥῆμα
τοῦτο RD--NSN--- οὗτος
ὃ RR--NSM--- ὅς
ὑμεῖς RP--NP---- σύ
ποιεῖτε V2--PAI2P- ποιέω
ἦ X--------- ἦ
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
ὑμεῖς RP--NP---- σύ
ἀποστατεῖτε V2--PAI2P- στατέω ἀπο

Neh 2:20
καὶ C--------- καί
ἐπέστρεψα VAI-AAI1S- στρέφω ἐπι
αὐτοῖς RD--DPM--- αὐτός
λόγον N2--ASM--- λόγος
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
αὐτὸς RD--NSM--- αὐτός
εὐοδώσει VF--FAI3S- εὐοδόω
ἡμῖν RP--DP---- ἐγώ
καὶ C--------- καί
ἡμεῖς RP--NP---- ἐγώ
δοῦλοι N2--NPM--- δοῦλος
αὐτοῦ RD--GSM--- αὐτός
καθαροί A1A-NPM--- καθαρός
καὶ C--------- καί
οἰκοδομήσομεν VF--FAI1P- οἰκοδομέω
καὶ C--------- καί
ὑμῖν RP--DP---- σύ
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
μερὶς N3D-NSF--- μερίς
καὶ C--------- καί
δικαιοσύνη N1--NSF--- δικαιοσύνη
καὶ C--------- καί
μνημόσυνον N2N-ASN--- μνημόσυνον
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ

Neh 3:1
καὶ C--------- καί
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
Ελισουβ N---NSM--- Ελισουβ
ὁ RA--NSM--- ὁ
ἱερεὺς N3V-NSM--- ἱερεύς
ὁ RA--NSM--- ὁ
μέγας A3--NSM--- μέγας
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἀδελφοὶ N2--NPM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
καὶ C--------- καί
ᾠκοδόμησαν VAI-AAI3P- οἰκοδομέω
τὴν RA--ASF--- ὁ
πύλην N1--ASF--- πύλη
τὴν RA--ASF--- ὁ
προβατικήν A1--ASF--- προβατικός
αὐτοὶ RD--NPM--- αὐτός
ἡγίασαν VAI-AAI3P- ἁγιάζω
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
ἔστησαν VHI-AAI3P- ἵστημι
θύρας N1A-APF--- θύρα
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἕως P--------- ἕως
πύργου N2--GSM--- πύργος
τῶν RA--GPM--- ὁ
ἑκατὸν M--------- ἑκατόν
ἡγίασαν VAI-AAI3P- ἁγιάζω
ἕως P--------- ἕως
πύργου N2--GSM--- πύργος
Ανανεηλ N---NSM--- Ανανεηλ

Neh 3:2
καὶ C--------- καί
ἐπὶ P--------- ἐπί
χεῖρας N3--APF--- χείρ
υἱῶν N2--GPM--- υἱός
ἀνδρῶν N3--GPM--- ἀνήρ
Ιεριχω N---GSM--- Ιεριχω
καὶ C--------- καί
ἐπὶ P--------- ἐπί
χεῖρας N3--APF--- χείρ
υἱῶν N2--GPM--- υἱός
Ζακχουρ N---GSM--- Ζακχουρ
υἱοῦ N2--GSM--- υἱός
Αμαρι N---GSM--- Αμαρι

Neh 3:3
καὶ C--------- καί
τὴν RA--ASF--- ὁ
πύλην N1--ASF--- πύλη
τὴν RA--ASF--- ὁ
ἰχθυηρὰν A1A-ASF--- ἰχθυηρός
ᾠκοδόμησαν VAI-AAI3P- οἰκοδομέω
υἱοὶ N2--NPM--- υἱός
Ασανα N---GSM--- Ασανα
αὐτοὶ RD--NPM--- αὐτός
ἐστέγασαν VAI-AAI3P- στεγάζω
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
ἔστησαν VHI-AAI3P- ἵστημι
θύρας N1A-APF--- θύρα
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
κλεῖθρα N2N-APN--- κλεῖθρον
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
μοχλοὺς N2--APM--- μοχλός
αὐτῆς RD--GSF--- αὐτός

Neh 3:4
καὶ C--------- καί
ἐπὶ P--------- ἐπί
χεῖρα N3--ASF--- χείρ
αὐτῶν RD--GPM--- αὐτός
κατέσχεν VBI-AAI3S- ἔχω κατα
ἀπὸ P--------- ἀπό
Ραμωθ N---GSM--- Ραμωθ
υἱὸς N2--NSM--- υἱός
Ουρια N---GSM--- Ουρια
υἱοῦ N2--GSM--- υἱός
Ακως N---GSM--- Ακως
καὶ C--------- καί
ἐπὶ P--------- ἐπί
χεῖρα N3--ASF--- χείρ
αὐτῶν RD--GPM--- αὐτός
κατέσχεν VBI-AAI3S- ἔχω κατα
Μοσολλαμ N---NSM--- Μοσολλαμ
υἱὸς N2--NSM--- υἱός
Βαραχιου N---GSM--- Βαραχιας
υἱοῦ N2--GSM--- υἱός
Μασεζεβηλ N---GSM--- Μασεζεβηλ
καὶ C--------- καί
ἐπὶ P--------- ἐπί
χεῖρα N3--ASF--- χείρ
αὐτῶν RD--GPM--- αὐτός
κατέσχεν VBI-AAI3S- ἔχω κατα
Σαδωκ N---NSM--- Σαδωκ
υἱὸς N2--NSM--- υἱός
Βαανα N---GSM--- Βαανα

Neh 3:5
καὶ C--------- καί
ἐπὶ P--------- ἐπί
χεῖρα N3--ASF--- χείρ
αὐτῶν RD--GPM--- αὐτός
κατέσχοσαν VBI-AAI3P- ἔχω κατα
οἱ RA--NPM--- ὁ
Θεκωιν N---NPM--- Θεκωιν
καὶ C--------- καί
αδωρηεμ N---NPM--- αδωρηεμ
οὐκ D--------- οὐ
εἰσήνεγκαν VAI-AAI3P- φέρω εἰς
τράχηλον N2--ASM--- τράχηλος
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
δουλείαν N1A-ASF--- δουλεία
αὐτῶν RD--GPM--- αὐτός

Neh 3:6
καὶ C--------- καί
τὴν RA--ASF--- ὁ
πύλην N1--ASF--- πύλη
τοῦ RA--GSM--- ὁ
Ισανα N---GSM--- Ισανα
ἐκράτησαν VAI-AAI3P- κρατέω
Ιοϊδα N---NSM--- Ιοϊδα
υἱὸς N2--NSM--- υἱός
Φασεκ N---GSM--- Φασεκ
καὶ C--------- καί
Μεσουλαμ N---NSM--- Μεσουλαμ
υἱὸς N2--NSM--- υἱός
Βασωδια N---GSM--- Βασωδια
αὐτοὶ RD--NPM--- αὐτός
ἐστέγασαν VAI-AAI3P- στεγάζω
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
ἔστησαν VHI-AAI3P- ἵστημι
θύρας N1A-APF--- θύρα
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
κλεῖθρα N2N-APN--- κλεῖθρον
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
μοχλοὺς N2--APM--- μοχλός
αὐτῆς RD--GSF--- αὐτός

Neh 3:8
καὶ C--------- καί
ἐπὶ P--------- ἐπί
χεῖρα N3--ASF--- χείρ
αὐτῶν RD--GPM--- αὐτός
ἐκράτησεν VAI-AAI3S- κρατέω
Ανανιας N---NSM--- Ανανιας
υἱὸς N2--NSM--- υἱός
τοῦ RA--GSM--- ὁ
Ρωκεϊμ N---GSM--- Ρωκεϊμ
καὶ C--------- καί
κατέλιπον VBI-AAI3P- λείπω κατα
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
τείχους N3E-GSN--- τεῖχος
τοῦ RA--GSN--- ὁ
πλατέος A3U-GSN--- πλατύς

Neh 3:9
καὶ C--------- καί
ἐπὶ P--------- ἐπί
χεῖρα N3--ASF--- χείρ
αὐτῶν RD--GPM--- αὐτός
ἐκράτησεν VAI-AAI3S- κρατέω
Ραφαια N---NSM--- Ραφαια
ἄρχων N3--NSM--- ἄρχων
ἡμίσους A3U-GSM--- ἥμισυς
περιχώρου N2--GSM--- περίχωρος
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ

Neh 3:10
καὶ C--------- καί
ἐπὶ P--------- ἐπί
χεῖρα N3--ASF--- χείρ
αὐτῶν RD--GPM--- αὐτός
ἐκράτησεν VAI-AAI3S- κρατέω
Ιεδαια N---NSM--- Ιεδαια
υἱὸς N2--NSM--- υἱός
Ερωμαφ N---GSM--- Ερωμαφ
καὶ C--------- καί
κατέναντι P--------- κατέναντι
οἰκίας N1A-GSF--- οἰκία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐπὶ P--------- ἐπί
χεῖρα N3--ASF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
ἐκράτησεν VAI-AAI3S- κρατέω
Ατους N---NSM--- Ατους
υἱὸς N2--NSM--- υἱός
Ασβανια N---GSM--- Ασβανια

Neh 3:11
καὶ C--------- καί
δεύτερος A1A-NSM--- δεύτερος
ἐκράτησεν VAI-AAI3S- κρατέω
Μελχιας N---NSM--- Μελχιας
υἱὸς N2--NSM--- υἱός
Ηραμ N---GSM--- Ηραμ
καὶ C--------- καί
Ασουβ N---NSM--- Ασουβ
υἱὸς N2--NSM--- υἱός
Φααθμωαβ N---GSM--- Φααθμωαβ
καὶ C--------- καί
ἕως P--------- ἕως
πύργου N2--GSM--- πύργος
τῶν RA--GPM--- ὁ
θαννουριμ N---GPM--- θαννουριμ

Neh 3:12
καὶ C--------- καί
ἐπὶ P--------- ἐπί
χεῖρα N3--ASF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
ἐκράτησεν VAI-AAI3S- κρατέω
Σαλουμ N---NSM--- Σαλουμ
υἱὸς N2--NSM--- υἱός
Αλλωης N---GSM--- Αλλωης
ἄρχων N3--NSM--- ἄρχων
ἡμίσους A3U-GSM--- ἥμισυς
περιχώρου N2--GSM--- περίχωρος
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
αὐτὸς RD--NSM--- αὐτός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
θυγατέρες N3--NPF--- θυγάτηρ
αὐτοῦ RD--GSM--- αὐτός

Neh 3:13
τὴν RA--ASF--- ὁ
πύλην N1--ASF--- πύλη
τῆς RA--GSF--- ὁ
φάραγγος N3G-GSF--- φάραγξ
ἐκράτησαν VAI-AAI3P- κρατέω
Ανουν N---NSM--- Ανουν
καὶ C--------- καί
οἱ RA--NPM--- ὁ
κατοικοῦντες V2--PAPNPM οἰκέω κατα
Ζανω N---GSM--- Ζανω
αὐτοὶ RD--NPM--- αὐτός
ᾠκοδόμησαν VAI-AAI3P- οἰκοδομέω
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
ἔστησαν VHI-AAI3P- ἵστημι
θύρας N1A-APF--- θύρα
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
κλεῖθρα N2N-APN--- κλεῖθρον
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
μοχλοὺς N2--APM--- μοχλός
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
χιλίους A1A-APM--- χίλιοι
πήχεις A3U-APM--- πῆχυς
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
τείχει N3E-DSN--- τεῖχος
ἕως P--------- ἕως
πύλης N1--GSF--- πύλη
τῆς RA--GSF--- ὁ
κοπρίας N1A-GSF--- κοπρία

Neh 3:14
καὶ C--------- καί
τὴν RA--ASF--- ὁ
πύλην N1--ASF--- πύλη
τῆς RA--GSF--- ὁ
κοπρίας N1A-GSF--- κοπρία
ἐκράτησεν VAI-AAI3S- κρατέω
Μελχια N---NSM--- Μελχια
υἱὸς N2--NSM--- υἱός
Ρηχαβ N---GSM--- Ρηχαβ
ἄρχων N3--NSM--- ἄρχων
περιχώρου N2--GSM--- περίχωρος
Βηθαχαρμ N---GSM--- Βηθαχαρμ
αὐτὸς RD--NSM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐσκέπασαν VAI-AAI3P- σκεπάζω
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
ἔστησαν VHI-AAI3P- ἵστημι
θύρας N1A-APF--- θύρα
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
κλεῖθρα N2N-APN--- κλεῖθρον
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
μοχλοὺς N2--APM--- μοχλός
αὐτῆς RD--GSF--- αὐτός

Neh 3:15
καὶ C--------- καί
τὸ RA--ASN--- ὁ
τεῖχος N3E-ASN--- τεῖχος
κολυμβήθρας N1A-GSF--- κολυμβήθρα
τῶν RA--GPN--- ὁ
κωδίων N2N-GPN--- κώδιον
τῇ RA--DSF--- ὁ
κουρᾷ N1A-DSF--- κουρά
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
ἕως P--------- ἕως
τῶν RA--GPF--- ὁ
κλιμάκων N3K-GPF--- κλιμάξ
τῶν RA--GPF--- ὁ
καταβαινουσῶν V1--PAPGPF βαίνω κατα
ἀπὸ P--------- ἀπό
πόλεως N3I-GSF--- πόλις
Δαυιδ N---GSM--- Δαυίδ

Neh 3:16
ὀπίσω P--------- ὀπίσω
αὐτοῦ RD--GSM--- αὐτός
ἐκράτησεν VAI-AAI3S- κρατέω
Νεεμιας N---NSM--- Νεεμιας
υἱὸς N2--NSM--- υἱός
Αζαβουχ N---GSM--- Αζαβουχ
ἄρχων N3--NSM--- ἄρχων
ἡμίσους A3U-GSM--- ἥμισυς
περιχώρου N2--GSM--- περίχωρος
Βηθσουρ N---GSM--- Βηθσουρ
ἕως P--------- ἕως
κήπου N2--GSM--- κῆπος
τάφου N2--GSM--- τάφος
Δαυιδ N---GSM--- Δαυίδ
καὶ C--------- καί
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
κολυμβήθρας N1A-GSF--- κολυμβήθρα
τῆς RA--GSF--- ὁ
γεγονυίας VX--XAPGSF γίγνομαι
καὶ C--------- καί
ἕως P--------- ἕως
Βηθαγγαβαριμ N---GPM--- Βηθαγγαβαριμ

Neh 3:17
ὀπίσω P--------- ὀπίσω
αὐτοῦ RD--GSM--- αὐτός
ἐκράτησαν VAI-AAI3P- κρατέω
οἱ RA--NPM--- ὁ
Λευῖται N1M-NPM--- Λευίτης
Ραουμ N---NSM--- Ραουμ
υἱὸς N2--NSM--- υἱός
Βανι N---GSM--- Βανι
ἐπὶ P--------- ἐπί
χεῖρα N3--ASF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
ἐκράτησεν VAI-AAI3S- κρατέω
Ασαβια N---NSM--- Ασαβια
ἄρχων N3--NSM--- ἄρχων
ἡμίσους A3U-GSM--- ἥμισυς
περιχώρου N2--GSM--- περίχωρος
Κεϊλα N---GSM--- Κεϊλα
τῷ RA--DSM--- ὁ
περιχώρῳ N2--DSM--- περίχωρος
αὐτοῦ RD--GSM--- αὐτός

Neh 3:18
μετ' P--------- μετά
αὐτὸν RD--ASM--- αὐτός
ἐκράτησαν VAI-AAI3P- κρατέω
ἀδελφοὶ N2--NPM--- ἀδελφός
αὐτῶν RD--GPM--- αὐτός
Βενι N---NSM--- Βενι
υἱὸς N2--NSM--- υἱός
Ηναδαδ N---GSM--- Ηναδαδ
ἄρχων N3--NSM--- ἄρχων
ἡμίσους A3U-GSM--- ἥμισυς
περιχώρου N2--GSM--- περίχωρος
Κεϊλα N---GSM--- Κεϊλα

Neh 3:19
καὶ C--------- καί
ἐκράτησεν VAI-AAI3S- κρατέω
ἐπὶ P--------- ἐπί
χεῖρα N3--ASF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
Αζουρ N---NSM--- Αζουρ
υἱὸς N2--NSM--- υἱός
Ἰησοῦ N---GSM--- Ἰησοῦς
ἄρχων N3--NSM--- ἄρχων
τοῦ RA--GSM--- ὁ
Μασφε N---GSM--- Μασφε
μέτρον N2N-ASN--- μέτρον
δεύτερον A1A-ASM--- δεύτερος
πύργου N2--GSM--- πύργος
ἀναβάσεως N3I-GSF--- ἀνάβασις
τῆς RA--GSF--- ὁ
συναπτούσης V1--PAPGSF ἅπτω συν
τῆς RA--GSF--- ὁ
γωνίας N1A-GSF--- γωνία

Neh 3:20
μετ' P--------- μετά
αὐτὸν RD--ASM--- αὐτός
ἐκράτησεν VAI-AAI3S- κρατέω
Βαρουχ N---NSM--- Βαρουχ
υἱὸς N2--NSM--- υἱός
Ζαβου N---GSM--- Ζαβου
μέτρον N2N-ASN--- μέτρον
δεύτερον A1A-ASN--- δεύτερος
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γωνίας N1A-GSF--- γωνία
ἕως P--------- ἕως
θύρας N1A-GSF--- θύρα
Βηθελισουβ N---GSM--- Βηθελισουβ
τοῦ RA--GSM--- ὁ
ἱερέως N3V-GSM--- ἱερεύς
τοῦ RA--GSM--- ὁ
μεγάλου A1--GSM--- μέγας

Neh 3:21
μετ' P--------- μετά
αὐτὸν RD--ASM--- αὐτός
ἐκράτησεν VAI-AAI3S- κρατέω
Μεραμωθ N---NSM--- Μεραμωθ
υἱὸς N2--NSM--- υἱός
Ουρια N---GSM--- Ουρια
υἱοῦ N2--GSM--- υἱός
Ακως N---GSM--- Ακως
μέτρον N2N-ASN--- μέτρον
δεύτερον A1A-ASN--- δεύτερος
ἀπὸ P--------- ἀπό
θύρας N1A-GSF--- θύρα
Βηθελισουβ N---GSM--- Βηθελισουβ
ἕως C--------- ἕως
ἐκλείψεως N3I-GSF--- ἔκλειψις
Βηθελισουβ N---GSM--- Βηθελισουβ

Neh 3:22
καὶ C--------- καί
μετ' P--------- μετά
αὐτὸν RD--ASM--- αὐτός
ἐκράτησαν VAI-AAI3P- κρατέω
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
ἄνδρες N3--NPM--- ἀνήρ
Αχεχαρ N---GSM--- Αχεχαρ

Neh 3:23
καὶ C--------- καί
μετ' P--------- μετά
αὐτὸν RD--ASM--- αὐτός
ἐκράτησεν VAI-AAI3S- κρατέω
Βενιαμιν N---NSM--- Βενιαμίν
καὶ C--------- καί
Ασουβ N---NSM--- Ασουβ
κατέναντι D--------- κατέναντι
οἴκου N2--GSM--- οἶκος
αὐτῶν RD--GPM--- αὐτός
μετ' P--------- μετά
αὐτὸν RD--ASM--- αὐτός
ἐκράτησεν VAI-AAI3S- κρατέω
Αζαρια N---NSM--- Αζαρια
υἱὸς N2--NSM--- υἱός
Μαασηα N---GSM--- Μαασηα
υἱοῦ N2--GSM--- υἱός
Ανανια N---GSM--- Ανανια
ἐχόμενα V1--PMPAPN ἔχω
οἴκου N2--GSM--- οἶκος
αὐτοῦ RD--GSM--- αὐτός

Neh 3:24
μετ' P--------- μετά
αὐτὸν RD--ASM--- αὐτός
ἐκράτησεν VAI-AAI3S- κρατέω
Βανι N---NSM--- Βανι
υἱὸς N2--NSM--- υἱός
Ηναδαδ N---GSM--- Ηναδαδ
μέτρον N2N-ASN--- μέτρον
